"Idade","Local de trabalho","Pontuação teste","Departmento","Distancia casa-trabalho","Educacao","Area","Possui carro","Subordinado","Satisfação com o ambiente no emprego atual","Genero","Horas voluntariado","Envolvimento com trabalho","Posicao","Cargo","Satisfação com emprego","Estado civil","Renda","Bonus de performance","Quantidade de empresas que trabalho","Maior de idade","Necessita de hora extra","Aumento de salario%","Performance na entrevista","Satisfação com a relação","Horas de trabalho padrão","Beneficios","Anos de experiencia","Horas de treinamento ultimo ano","Estilo de vida","Anos na última empresa","Anos na posição atual","Anos desde última promoção","Anos com a mesma gerência","Contratar","Partition","$XGT-Contratar","$XGTC-Contratar"
"49","Cliente","279","Engenharia","8","Médio completo","Ciências das natureza","1","2","3","M","61","2","2","Engenheiro","2","Casado","5130","24907","1","1","Não","23","4","4","80","1","10","3","3","10","7","1","7","Não","1_Training","Não","0.857208"
"33","Misto","1392","Engenharia","3","Superior incompleto - cursando","Ciências das natureza","1","5","4","F","56","3","1","Engenheiro","3","Casado","2909","23159","1","1","Sim","11","3","3","80","0","8","3","3","8","7","3","0","Não","1_Training","Sim","0.755382"
"27","Cliente","591","Engenharia","2","Médio completo","Medicina","1","7","1","M","40","3","1","Tecnico","2","Casado","3468","16632","9","1","Não","12","3","4","80","1","6","3","3","2","2","2","2","Não","1_Training","Sim","0.68379"
"32","Misto","1005","Engenharia","2","Superior incompleto","Ciências das natureza","1","8","4","M","79","3","1","Tecnico","4","Solteiro","3068","11864","0","1","Não","13","3","3","80","0","8","2","2","7","7","3","6","Não","2_Testing","Não","0.526621"
"59","Misto","1324","Engenharia","3","Superior completo","Medicina","1","10","3","F","81","4","1","Tecnico","1","Casado","2670","9964","4","1","Sim","20","4","1","80","3","12","3","2","1","0","0","0","Não","1_Training","Não","0.577072"
"30","Cliente","1358","Engenharia","24","Médio completo","Ciências das natureza","1","11","4","M","67","3","1","Tecnico","3","Divorciado","2693","13335","1","1","Não","22","4","2","80","1","1","2","3","1","0","0","0","Não","1_Training","Sim","0.620051"
"38","Misto","216","Engenharia","23","Superior completo","Ciências das natureza","1","12","4","M","44","2","3","Supervisor","3","Solteiro","9526","8787","0","1","Não","21","4","2","80","0","10","2","3","9","7","1","8","Não","1_Training","Não","0.666946"
"36","Misto","1299","Engenharia","27","Superior completo","Medicina","1","13","3","M","94","3","2","Analista","3","Casado","5237","16577","6","1","Não","13","3","2","80","2","17","3","2","7","7","7","7","Não","1_Training","Não","0.641322"
"35","Misto","809","Engenharia","16","Superior completo","Medicina","1","14","1","M","84","4","1","Tecnico","2","Casado","2426","16479","0","1","Não","13","3","3","80","1","6","5","3","5","4","0","3","Não","1_Training","Não","0.754062"
"29","Misto","153","Engenharia","15","Superior incompleto","Ciências das natureza","1","15","4","F","49","2","2","Tecnico","3","Solteiro","4193","12682","0","1","Sim","12","3","4","80","0","10","3","3","9","5","0","8","Não","1_Training","Sim","0.705416"
"31","Misto","670","Engenharia","26","Médio completo","Ciências das natureza","1","16","1","M","31","3","1","Engenheiro","3","Divorciado","2911","15170","1","1","Não","17","3","4","80","1","5","1","2","5","2","4","3","Não","1_Training","Não","0.513053"
"34","Misto","1346","Engenharia","19","Superior incompleto","Medicina","1","18","2","M","93","3","1","Tecnico","4","Divorciado","2661","8758","0","1","Não","11","3","3","80","1","3","2","3","2","2","1","2","Não","1_Training","Não","0.550751"
"29","Misto","1389","Engenharia","21","Superior incompleto - cursando","Ciências das natureza","1","20","2","F","51","4","3","Supervisor","1","Divorciado","9980","10195","1","1","Não","11","3","3","80","1","10","1","3","10","9","8","8","Não","2_Testing","Não","0.752768"
"32","Escritório","334","Engenharia","5","Superior incompleto","Ciências das natureza","1","21","1","M","80","4","1","Engenheiro","2","Divorciado","3298","15053","0","1","Sim","12","3","4","80","2","7","5","2","6","2","0","5","Não","1_Training","Sim","0.545326"
"22","Misto","1123","Engenharia","16","Superior incompleto","Medicina","1","22","4","M","96","4","1","Tecnico","4","Divorciado","2935","7324","1","1","Sim","13","3","2","80","2","1","2","2","1","0","0","0","Não","2_Testing","Sim","0.870083"
"53","Misto","1219","Vendas","2","Superior incompleto - cursando","Ciências das natureza","1","23","1","F","78","2","4","Gerente","4","Casado","15427","22021","2","1","Não","16","3","3","80","0","31","3","3","25","8","3","7","Não","2_Testing","Não","0.768348"
"38","Escritório","371","Engenharia","2","Superior completo","Ciências das natureza","1","24","4","M","45","3","1","Engenheiro","4","Solteiro","3944","4306","5","1","Sim","11","3","3","80","0","6","3","3","3","2","1","2","Não","1_Training","Sim","0.679282"
"24","Misto","673","Engenharia","11","Superior incompleto","Outros","1","26","1","F","96","4","2","Supervisor","3","Divorciado","4011","8232","0","1","Não","18","3","4","80","1","5","5","2","4","2","1","3","Não","1_Training","Não","0.703014"
"34","Misto","419","Engenharia","7","Superior incompleto - cursando","Ciências das natureza","1","28","1","F","53","3","3","Diretor","2","Solteiro","11994","21293","0","1","Não","11","3","3","80","0","13","4","3","12","6","2","11","Não","1_Training","Não","0.687319"
"21","Misto","391","Engenharia","15","Superior incompleto","Ciências das natureza","1","30","3","M","96","3","1","Engenheiro","4","Solteiro","1232","19281","1","1","Não","14","3","4","80","0","0","6","3","0","0","0","0","Não","1_Training","Sim","0.833808"
"53","Misto","1282","Engenharia","5","Superior completo","Outros","1","32","3","F","58","3","5","Gerente","3","Divorciado","19094","10735","4","1","Não","11","3","4","80","1","26","3","2","14","13","4","8","Não","1_Training","Não","0.934079"
"42","Misto","691","Vendas","8","Superior incompleto - cursando","Marketing","1","35","3","M","48","3","2","Vendedo senior","2","Casado","6825","21173","0","1","Não","11","3","4","80","1","10","2","3","9","7","4","2","Não","2_Testing","Não","0.752256"
"44","Misto","477","Engenharia","7","Superior incompleto - cursando","Medicina","1","36","1","F","42","2","3","Analista","4","Casado","10248","2094","3","1","Não","14","3","4","80","1","24","4","3","22","6","5","17","Não","1_Training","Não","0.881192"
"46","Misto","705","Vendas","2","Superior incompleto - cursando","Marketing","1","38","2","F","83","3","5","Gerente","1","Solteiro","18947","22822","3","1","Não","12","3","4","80","0","22","2","2","2","2","2","1","Não","1_Training","Não","0.568265"
"33","Misto","924","Engenharia","2","Superior completo","Medicina","1","39","3","M","78","3","1","Tecnico","4","Solteiro","2496","6670","4","1","Não","11","3","4","80","0","7","3","3","1","1","0","0","Não","1_Training","Sim","0.700255"
